"RefDate","Symbol","OpeningPrice","ClosingPrice","MinPrice","MaxPrice","AvgPrice","VWAP","Trades","Shares","PctRange"
"2015-08-03","DAVE",17.93,17.64,17.23,17.9994,17.4706058510638,17.4784040070808,223,26272,0.0436167800453515
"2015-08-03","AAPL",121.5,118.44,117.52,122.57,119.397261601838,119.431092926091,389307,69985855,0.0426376224248564
"2015-08-03","AMZN",537.9,535.03,529.36,540.44,535.014658830239,534.913413560063,35807,3014457,0.0207091191148161
"2015-08-03","MSFT",46.95,46.81,46.45,47,46.7022084018463,46.7117290169187,124109,24126587,0.0117496261482589
